"personage","gender","how_old_they_are","whatTheyDoForWork","ascending_sun_sign","is_female"
3851137,"male",14,"Science","Capricorn",0
3914258,"male",13,"Student","Virgo",0
1668490,"female",26,"Chemicals","Gemini",1
3715812,"female",13,"indUnk","Libra",1
3810527,"male",27,"indUnk","Virgo",0
3299359,"male",17,"indUnk","Gemini",0
3340458,"male",26,"Internet","Libra",0
3681578,"male",17,"Student","Leo",0
4255242,"female",15,"Education","Gemini",1
3872874,"female",23,"Science","Taurus",1
3911836,"female",23,"indUnk","Taurus",1
4149439,"female",35,"HumanResources","Cancer",1
4215892,"female",15,"Student","Cancer",1
3597932,"female",40,"indUnk","Virgo",1
3839018,"female",24,"Arts","Libra",1
4273458,"male",27,"Internet","Aries",0
3731602,"male",26,"indUnk","Sagittarius",0
3568314,"female",40,"indUnk","Virgo",1
4124898,"male",43,"Construction","Cancer",0
2002478,"male",25,"Science","Sagittarius",0
3447366,"male",25,"indUnk","Aries",0
3057795,"female",14,"Student","Pisces",1
3701023,"female",34,"indUnk","Capricorn",1
2952959,"female",24,"indUnk","Capricorn",1
3376407,"female",14,"Student","Aquarius",1
3005033,"female",25,"Communications-Media","Gemini",1
1807720,"female",16,"Student","Leo",1
3874402,"female",15,"indUnk","Sagittarius",1
3491774,"male",36,"indUnk","Gemini",0
4144593,"male",16,"Student","Scorpio",0
3391462,"male",15,"Student","Aries",0
4251627,"female",15,"Student","Pisces",1
3343256,"male",23,"indUnk","Virgo",0
4053881,"male",23,"Technology","Scorpio",0
3295085,"male",15,"indUnk","Aquarius",0
3328632,"male",16,"Student","Sagittarius",0
298924,"male",25,"Student","Gemini",0
3314642,"female",42,"indUnk","Sagittarius",1
3864561,"female",23,"Student","Cancer",1
1939723,"male",25,"Student","Pisces",0
4191471,"male",25,"Communications-Media","Aquarius",0
3523319,"male",24,"Internet","Pisces",0
3229623,"female",14,"indUnk","Leo",1
3498546,"female",23,"indUnk","Capricorn",1
3976928,"male",23,"Communications-Media","Cancer",0
3051029,"female",36,"Technology","Pisces",1
3228857,"female",15,"indUnk","Gemini",1
3875922,"female",17,"Student","Pisces",1
3342074,"female",23,"HumanResources","Leo",1
3457907,"female",17,"indUnk","Sagittarius",1
3384319,"female",15,"indUnk","Libra",1
4015154,"male",24,"Non-Profit","Aquarius",0
3386364,"male",23,"Science","Virgo",0
4141194,"female",24,"Tourism","Aries",1
3618816,"female",15,"Student","Libra",1
3590558,"female",14,"Student","Pisces",1
3588446,"female",23,"Education","Cancer",1
3898977,"female",38,"Publishing","Leo",1
303162,"female",38,"indUnk","Virgo",1
3798944,"male",23,"Banking","Capricorn",0
3633973,"female",14,"indUnk","Scorpio",1
994616,"male",17,"Student","Libra",0
2686344,"female",15,"Education","Pisces",1
3294420,"male",38,"Technology","Taurus",0
3876313,"female",27,"Education","Pisces",1
2621153,"male",16,"Arts","Scorpio",0
4184613,"male",23,"Engineering","Scorpio",0
3961216,"male",36,"Communications-Media","Cancer",0
3698513,"female",16,"indUnk","Virgo",1
4101326,"female",17,"indUnk","Gemini",1
3208819,"male",23,"Student","Aries",0
3493010,"female",13,"indUnk","Pisces",1
1880181,"male",25,"Government","Gemini",0
3385100,"female",16,"indUnk","Taurus",1
4287012,"female",17,"Student","Taurus",1
3403180,"female",40,"Accounting","Scorpio",1
4063562,"male",16,"Student","Scorpio",0
2635791,"female",23,"indUnk","Leo",1
4117187,"female",16,"Student","Gemini",1
3656772,"female",17,"Student","Capricorn",1
3903248,"male",23,"Student","Gemini",0
3540941,"male",24,"indUnk","Capricorn",0
3603286,"male",26,"Student","Aries",0
216413,"female",26,"Law","Cancer",1
4001150,"female",17,"Student","Gemini",1
4131346,"male",15,"Arts","Libra",0
3321400,"male",24,"Student","Libra",0
613975,"male",16,"indUnk","Scorpio",0
3751152,"male",27,"Technology","Capricorn",0
4015188,"male",35,"Arts","Cancer",0
3449535,"male",24,"Internet","Pisces",0
4176617,"female",26,"indUnk","Leo",1
3415523,"male",25,"Internet","Aquarius",0
75671,"male",36,"Engineering","Aries",0
3978972,"male",17,"indUnk","Libra",0
3630552,"male",26,"Science","Aquarius",0
3608331,"female",27,"Arts","Gemini",1
2974962,"female",24,"Fashion","Capricorn",1
3577073,"male",26,"Banking","Scorpio",0
4231833,"male",16,"Student","Sagittarius",0
3722828,"male",17,"Technology","Libra",0
4013711,"male",26,"Education","Capricorn",0
956218,"female",33,"Biotech","Capricorn",1
3698384,"female",15,"Fashion","Pisces",1
4236877,"female",17,"Student","Libra",1
3517315,"female",23,"indUnk","Scorpio",1
4086960,"female",25,"indUnk","Scorpio",1
4276058,"male",14,"Student","Sagittarius",0
3672392,"male",16,"indUnk","Taurus",0
3683969,"male",17,"indUnk","Cancer",0
3981812,"male",27,"Religion","Libra",0
4097301,"female",14,"indUnk","Virgo",1
3692465,"male",38,"indUnk","Aries",0
1077954,"male",26,"indUnk","Gemini",0
2844086,"male",15,"Student","Pisces",0
3946611,"male",17,"indUnk","Libra",0
3828422,"female",24,"indUnk","Pisces",1
2921692,"male",26,"Student","Aquarius",0
3056598,"female",13,"Arts","Virgo",1
3934445,"female",13,"Student","Taurus",1
9289,"male",23,"Marketing","Taurus",0
2797732,"female",23,"Science","Taurus",1
776742,"male",25,"Engineering","Taurus",0
4256247,"male",23,"indUnk","Gemini",0
3499721,"male",17,"indUnk","Leo",0
202334,"male",17,"indUnk","Aquarius",0
3789000,"female",15,"indUnk","Aries",1
4165917,"female",17,"Education","Cancer",1
1892791,"female",33,"indUnk","Scorpio",1
3445511,"female",26,"Education","Libra",1
790559,"female",34,"Internet","Leo",1
4247571,"male",16,"Student","Cancer",0
3692786,"female",15,"Student","Gemini",1
4306594,"female",23,"Engineering","Taurus",1
4146221,"female",24,"Publishing","Gemini",1
1702682,"male",23,"indUnk","Scorpio",0
3884312,"female",26,"indUnk","Scorpio",1
3931930,"female",24,"indUnk","Scorpio",1
1488330,"male",17,"Non-Profit","Pisces",0
3789909,"male",23,"Technology","Virgo",0
3689247,"male",17,"Military","Aquarius",0
3469176,"male",17,"Engineering","Scorpio",0
3961750,"male",26,"Internet","Capricorn",0
4219142,"male",25,"indUnk","Leo",0
476109,"female",25,"indUnk","Taurus",1
3358531,"male",40,"Education","Scorpio",0
3647416,"female",23,"Communications-Media","Scorpio",1
4188734,"male",26,"Communications-Media","Scorpio",0
4237045,"female",27,"Arts","Sagittarius",1
4256343,"male",26,"indUnk","Gemini",0
2535854,"male",16,"Student","Pisces",0
3589501,"male",16,"Student","Sagittarius",0
3088766,"male",26,"indUnk","Pisces",0
3898151,"female",16,"indUnk","Leo",1
3874838,"male",25,"indUnk","Aries",0
4308382,"female",17,"indUnk","Capricorn",1
4116628,"female",16,"Student","Libra",1
3481866,"female",23,"Engineering","Pisces",1
3497014,"female",43,"Education","Cancer",1
3886245,"female",17,"Student","Taurus",1
4320995,"male",25,"indUnk","Aquarius",0
3914673,"male",16,"Student","Sagittarius",0
3315536,"female",14,"Science","Libra",1
4070519,"female",23,"Arts","Aquarius",1
1826925,"male",26,"Arts","Gemini",0
2212868,"male",26,"Internet","Leo",0
3112893,"male",16,"Student","Sagittarius",0
3345280,"male",14,"Education","Aries",0
3948476,"female",14,"indUnk","Libra",1
3905054,"male",17,"Student","Virgo",0
3739064,"male",24,"Technology","Aries",0
3567863,"male",16,"Non-Profit","Libra",0
1608709,"male",25,"Accounting","Aries",0
4107878,"male",14,"Student","Scorpio",0
2887572,"female",26,"Consulting","Aquarius",1
4038669,"female",23,"indUnk","Leo",1
3972301,"female",15,"indUnk","Libra",1
3315453,"male",24,"Technology","Leo",0
4285148,"female",17,"Student","Gemini",1
1461773,"male",25,"Engineering","Virgo",0
4127953,"female",26,"indUnk","Libra",1
3330196,"male",23,"Marketing","Virgo",0
3499629,"female",14,"indUnk","Virgo",1
3622707,"female",15,"indUnk","Cancer",1
4203281,"male",27,"indUnk","Gemini",0
3959859,"female",14,"indUnk","Leo",1
1673237,"female",42,"Non-Profit","Aquarius",1
3810788,"female",15,"Non-Profit","Leo",1
4251220,"female",15,"Student","Scorpio",1
4028811,"female",24,"Communications-Media","Pisces",1
3895096,"male",17,"Student","Scorpio",0
3435302,"male",26,"indUnk","Capricorn",0
3354525,"male",17,"Student","Leo",0
4169684,"male",17,"Student","Virgo",0
3336127,"male",13,"indUnk","Capricorn",0
3425989,"male",15,"Student","Sagittarius",0
4319396,"male",16,"Student","Leo",0
724360,"male",27,"indUnk","Taurus",0
3346453,"male",15,"indUnk","Scorpio",0
3847790,"female",36,"indUnk","Cancer",1
2565326,"male",48,"Communications-Media","Aries",0
4243962,"female",34,"Religion","Virgo",1
3879598,"male",16,"indUnk","Virgo",0
3537022,"male",26,"Communications-Media","Libra",0
296044,"male",27,"Technology","Capricorn",0
3669886,"male",16,"indUnk","Gemini",0
3881861,"male",24,"indUnk","Gemini",0
3505405,"male",26,"indUnk","Pisces",0
3519292,"male",14,"Student","Scorpio",0
3348936,"male",25,"Student","Gemini",0
3289588,"male",17,"Architecture","Leo",0
3829066,"male",23,"Religion","Cancer",0
3987851,"male",16,"indUnk","Sagittarius",0
1029959,"male",17,"indUnk","Aries",0
3974322,"female",23,"Architecture","Libra",1
2260369,"female",15,"Education","Virgo",1
2835115,"female",16,"indUnk","Sagittarius",1
1125433,"male",48,"Military","Aquarius",0
1799065,"female",17,"indUnk","Capricorn",1
3869125,"male",15,"Military","Sagittarius",0
3984669,"male",24,"indUnk","Aries",0
3425653,"male",14,"indUnk","Virgo",0
3787004,"male",16,"Biotech","Sagittarius",0
3818898,"male",24,"Consulting","Leo",0
2672634,"male",23,"Engineering","Gemini",0
3382490,"male",46,"indUnk","Capricorn",0
3833325,"female",17,"Education","Sagittarius",1
4242096,"male",38,"Technology","Virgo",0
3483449,"female",23,"Arts","Sagittarius",1
3932072,"female",16,"indUnk","Capricorn",1
3473655,"female",33,"Education","Aquarius",1
3555498,"female",43,"Marketing","Aquarius",1
3630174,"female",25,"Technology","Sagittarius",1
2879615,"male",25,"Technology","Taurus",0
3924227,"male",16,"Sports-Recreation","Leo",0
4275140,"male",15,"Student","Scorpio",0
4193510,"male",23,"indUnk","Aries",0
4160032,"female",25,"Museums-Libraries","Capricorn",1
3768435,"male",14,"indUnk","Taurus",0
2793502,"female",26,"indUnk","Cancer",1
3520353,"male",25,"indUnk","Gemini",0
3392696,"female",27,"Tourism","Leo",1
3346538,"male",35,"Construction","Taurus",0
3249063,"female",23,"indUnk","Pisces",1
2839210,"male",23,"Advertising","Virgo",0
1231400,"female",24,"indUnk","Cancer",1
426718,"female",27,"Non-Profit","Gemini",1
3311164,"male",14,"indUnk","Pisces",0
4199376,"female",14,"Chemicals","Scorpio",1
4231869,"female",17,"indUnk","Scorpio",1
4056016,"male",13,"Military","Sagittarius",0
3892447,"female",13,"Arts","Virgo",1
3612176,"female",26,"indUnk","Aries",1
3065476,"female",13,"Student","Scorpio",1
3951642,"male",17,"Student","Taurus",0
4151879,"female",14,"Student","Sagittarius",1
4060406,"male",25,"Religion","Gemini",0
3939319,"male",17,"Technology","Libra",0
3404376,"male",17,"Student","Sagittarius",0
3776655,"male",26,"Arts","Pisces",0
3499594,"male",33,"Technology","Gemini",0
3751621,"male",27,"Law","Cancer",0
299143,"female",23,"Engineering","Cancer",1
4310398,"female",14,"Student","Gemini",1
3659893,"male",15,"Student","Scorpio",0
3527777,"female",16,"indUnk","Sagittarius",1
3724623,"male",15,"Student","Leo",0
3373204,"male",25,"Technology","Aries",0
3378351,"male",26,"indUnk","Cancer",0
3678735,"male",15,"Student","Libra",0
4132460,"male",14,"indUnk","Libra",0
4055853,"male",15,"indUnk","Libra",0
2258198,"male",25,"Engineering","Gemini",0
3493432,"male",24,"Chemicals","Virgo",0
3294505,"male",15,"Student","Leo",0
3885773,"female",42,"indUnk","Cancer",1
4270503,"male",16,"indUnk","Sagittarius",0
3818804,"female",17,"Student","Taurus",1
4202674,"female",23,"indUnk","Gemini",1
2664554,"male",35,"indUnk","Libra",0
4226262,"male",13,"Communications-Media","Taurus",0
4309741,"female",17,"indUnk","Gemini",1
3135005,"male",17,"Student","Leo",0
3061874,"male",25,"Technology","Pisces",0
1971502,"female",25,"BusinessServices","Pisces",1
3650889,"female",15,"Student","Scorpio",1
3806303,"female",23,"indUnk","Capricorn",1
3471383,"female",14,"indUnk","Gemini",1
3515206,"male",13,"Student","Aquarius",0
3414073,"male",14,"Communications-Media","Libra",0
3530425,"female",40,"Education","Aquarius",1
2635745,"female",15,"Student","Pisces",1
3009982,"female",15,"Student","Pisces",1
3417441,"female",24,"Accounting","Virgo",1
3565664,"female",35,"Technology","Libra",1
3681834,"male",26,"Science","Cancer",0
2988995,"male",26,"Technology","Cancer",0
2183217,"male",16,"Student","Leo",0
3994809,"female",15,"Student","Aries",1
3844281,"female",24,"indUnk","Pisces",1
3337906,"female",26,"Internet","Sagittarius",1
1820362,"female",25,"indUnk","Cancer",1
3894427,"female",17,"Student","Leo",1
4074263,"male",35,"indUnk","Pisces",0
3616679,"female",47,"indUnk","Cancer",1
3547867,"female",24,"Technology","Capricorn",1
4053386,"female",26,"indUnk","Pisces",1
3827357,"female",15,"Non-Profit","Pisces",1
3917928,"male",15,"Technology","Virgo",0
3743814,"male",24,"BusinessServices","Scorpio",0
3811738,"male",25,"indUnk","Virgo",0
3590334,"male",27,"Arts","Virgo",0
4129961,"female",17,"Student","Virgo",1
3764910,"male",17,"Student","Aquarius",0
4276846,"male",14,"Student","Aries",0
3839760,"female",24,"Student","Pisces",1
3470087,"male",15,"indUnk","Gemini",0
4105620,"male",26,"Arts","Cancer",0
2649508,"male",44,"indUnk","Libra",0
4076603,"male",36,"Technology","Capricorn",0
3793386,"male",37,"InvestmentBanking","Scorpio",0
3881695,"female",14,"Student","Leo",1
3864344,"male",26,"indUnk","Libra",0
4112244,"male",40,"Consulting","Capricorn",0
4236382,"female",40,"indUnk","Gemini",1
3903607,"female",25,"Law","Taurus",1
3884723,"female",24,"Accounting","Cancer",1
4185171,"male",23,"Student","Leo",0
1774842,"female",15,"indUnk","Cancer",1
3929075,"female",17,"indUnk","Taurus",1
3762397,"male",27,"indUnk","Gemini",0
3389233,"male",17,"Student","Pisces",0
3884612,"male",42,"indUnk","Gemini",0
3482296,"male",23,"indUnk","Capricorn",0
3780185,"female",33,"Publishing","Cancer",1
3501549,"male",17,"Student","Leo",0
2857161,"male",23,"indUnk","Aquarius",0
3295288,"female",33,"Transportation","Virgo",1
4120558,"female",26,"LawEnforcement-Security","Taurus",1
3832923,"female",27,"Education","Pisces",1
751522,"female",17,"indUnk","Sagittarius",1
3884809,"male",14,"Student","Aries",0
3418420,"female",17,"Military","Pisces",1
3676100,"male",25,"Communications-Media","Capricorn",0
1716133,"female",23,"indUnk","Pisces",1
3490766,"female",25,"Fashion","Capricorn",1
4235996,"male",15,"Student","Taurus",0
4155748,"female",23,"Arts","Capricorn",1
3566695,"female",25,"Arts","Gemini",1
1378761,"male",16,"Student","Libra",0
3904961,"female",23,"indUnk","Cancer",1
3390883,"male",24,"Telecommunications","Cancer",0
3594699,"female",24,"Communications-Media","Scorpio",1
3483907,"male",16,"Student","Sagittarius",0
3418388,"male",26,"Communications-Media","Virgo",0
4139452,"male",16,"Manufacturing","Leo",0
4264217,"male",17,"Architecture","Pisces",0
4127857,"female",17,"Student","Gemini",1
831082,"male",23,"indUnk","Scorpio",0
4159332,"female",15,"indUnk","Capricorn",1
3831111,"female",14,"indUnk","Taurus",1
3509891,"male",46,"Technology","Gemini",0
4245772,"male",25,"indUnk","Capricorn",0
3521480,"male",17,"Student","Aquarius",0
3581214,"female",16,"indUnk","Leo",1
4052886,"female",13,"indUnk","Virgo",1
4292279,"female",25,"Student","Libra",1
3731828,"female",17,"Student","Virgo",1
3961230,"female",15,"Student","Scorpio",1
4118493,"male",27,"indUnk","Leo",0
3702803,"male",24,"InvestmentBanking","Gemini",0
1450960,"female",24,"Fashion","Pisces",1
3846832,"male",24,"Government","Sagittarius",0
3536384,"male",16,"Fashion","Libra",0
3743674,"female",34,"Education","Sagittarius",1
3312844,"female",24,"indUnk","Aries",1
3174728,"male",17,"Student","Pisces",0
3366891,"male",23,"indUnk","Aquarius",0
3376175,"male",42,"Consulting","Taurus",0
1884464,"female",34,"indUnk","Scorpio",1
3589312,"male",23,"Banking","Cancer",0
3917252,"female",24,"indUnk","Sagittarius",1
4009346,"male",24,"Non-Profit","Taurus",0
3925742,"male",27,"indUnk","Scorpio",0
2515003,"male",17,"Student","Aries",0
4059801,"male",17,"Student","Aquarius",0
3349028,"female",15,"Student","Pisces",1
4283836,"female",15,"Student","Virgo",1
2608756,"female",38,"Education","Gemini",1
3587860,"female",24,"Non-Profit","Cancer",1
3453865,"female",46,"Law","Leo",1
3628417,"male",17,"Non-Profit","Leo",0
3686758,"male",38,"indUnk","Virgo",0
4300301,"female",23,"Education","Gemini",1
3628218,"female",17,"indUnk","Pisces",1
3922150,"male",16,"Communications-Media","Leo",0
3511677,"male",34,"Publishing","Capricorn",0
3736084,"male",25,"Non-Profit","Leo",0
3987266,"male",14,"indUnk","Virgo",0
1996075,"male",16,"Student","Scorpio",0
3638850,"female",27,"Tourism","Virgo",1
3425704,"female",34,"Education","Leo",1
3428877,"female",15,"Student","Taurus",1
3306664,"male",36,"indUnk","Sagittarius",0
195160,"female",36,"Non-Profit","Virgo",1
3880217,"female",14,"indUnk","Taurus",1
2996376,"male",16,"BusinessServices","Capricorn",0
4148541,"male",15,"Student","Scorpio",0
3526005,"female",17,"Student","Leo",1
3715807,"female",25,"indUnk","Leo",1
3747324,"male",17,"Education","Scorpio",0
3229187,"male",23,"indUnk","Leo",0
3468570,"male",17,"Student","Cancer",0
4287440,"female",26,"indUnk","Scorpio",1
3126397,"male",24,"Technology","Taurus",0
1598918,"male",27,"Education","Aries",0
4146450,"female",16,"Student","Aries",1
3785526,"male",23,"Technology","Taurus",0
3948727,"male",17,"Student","Aquarius",0
4214781,"male",26,"indUnk","Gemini",0
3966664,"male",16,"Fashion","Pisces",0
3907671,"female",23,"Government","Scorpio",1
1350027,"female",16,"Student","Scorpio",1
3306336,"female",16,"indUnk","Capricorn",1
1226756,"male",23,"Technology","Leo",0
4052167,"female",35,"Education","Libra",1
2897463,"male",26,"indUnk","Leo",0
3315312,"male",17,"Student","Sagittarius",0
1672912,"female",17,"Education","Aries",1
3398284,"female",24,"indUnk","Libra",1
1561597,"female",25,"Fashion","Scorpio",1
4044185,"female",34,"indUnk","Taurus",1
3907682,"male",27,"Technology","Virgo",0
4208262,"female",43,"Government","Cancer",1
3973262,"female",23,"indUnk","Capricorn",1
3949045,"female",23,"Arts","Sagittarius",1
3832680,"male",15,"indUnk","Sagittarius",0
3438943,"female",24,"Education","Taurus",1
3862121,"female",44,"indUnk","Virgo",1
3299377,"male",25,"Technology","Aries",0
3559262,"female",16,"Tourism","Cancer",1
4243411,"male",35,"Publishing","Gemini",0
3712913,"male",15,"Student","Virgo",0
2678611,"male",16,"Student","Capricorn",0
3179370,"male",35,"indUnk","Pisces",0
3599786,"female",26,"Fashion","Sagittarius",1
3832265,"female",17,"Communications-Media","Pisces",1
4164598,"male",16,"indUnk","Scorpio",0
3430461,"male",16,"Student","Aquarius",0
3880346,"male",14,"Student","Virgo",0
3399431,"male",27,"Communications-Media","Libra",0
4174465,"female",34,"indUnk","Aries",1
3382977,"male",15,"Student","Taurus",0
4138144,"male",23,"Engineering","Leo",0
578626,"female",34,"Education","Gemini",1
4002418,"male",16,"Engineering","Virgo",0
3931176,"female",14,"indUnk","Sagittarius",1
1637456,"male",24,"Internet","Capricorn",0
3302742,"female",23,"Technology","Pisces",1
4298002,"male",14,"Student","Scorpio",0
3825027,"male",14,"Student","Leo",0
3994558,"male",24,"Engineering","Virgo",0
4288137,"male",42,"Publishing","Taurus",0
3976117,"male",25,"indUnk","Pisces",0
4004688,"female",15,"Student","Scorpio",1
4015759,"male",16,"indUnk","Libra",0
2899422,"male",41,"Museums-Libraries","Libra",0
4199216,"female",17,"Student","Cancer",1
3329104,"female",23,"Student","Pisces",1
1676824,"female",40,"Non-Profit","Cancer",1
1861336,"female",26,"indUnk","Scorpio",1
3876728,"male",26,"indUnk","Leo",0
3921252,"female",41,"indUnk","Virgo",1
4180199,"female",17,"Communications-Media","Libra",1
899153,"female",27,"Religion","Gemini",1
4332271,"male",23,"indUnk","Capricorn",0
3755332,"female",27,"Education","Scorpio",1
3911306,"female",13,"Student","Taurus",1
3784795,"male",14,"Student","Scorpio",0
4286661,"female",16,"Student","Gemini",1
3605137,"male",15,"Student","Scorpio",0
3908022,"female",16,"Student","Pisces",1
4057046,"female",34,"Arts","Pisces",1
4177264,"male",13,"Student","Aries",0
3626815,"male",17,"Student","Cancer",0
797269,"female",15,"Student","Libra",1
2760682,"female",26,"Arts","Gemini",1
4161232,"male",15,"indUnk","Taurus",0
3524204,"female",24,"indUnk","Aries",1
3541805,"male",37,"Student","Capricorn",0
3620866,"male",44,"indUnk","Libra",0
2738460,"female",23,"BusinessServices","Sagittarius",1
1564008,"female",16,"Sports-Recreation","Libra",1
4167721,"female",25,"indUnk","Cancer",1
4216768,"male",17,"Student","Scorpio",0
3458931,"female",25,"Technology","Gemini",1
3577251,"male",45,"Technology","Aries",0
