,tokens,dictionary,weights
0,(:,POSEMO,1
1,:),POSEMO,1
2,accept,POSEMO,1
3,accepta*,POSEMO,1
4,accepted,POSEMO,1
5,accepting,POSEMO,1
6,accepts,POSEMO,1
7,active,POSEMO,1
8,actively,POSEMO,1
9,admir*,POSEMO,1
10,ador*,POSEMO,1
11,advantag*,POSEMO,1
12,adventur*,POSEMO,1
13,affection*,POSEMO,1
14,agree,POSEMO,1
15,agreeable,POSEMO,1
16,agreeableness,POSEMO,1
17,agreeably,POSEMO,1
18,agreed,POSEMO,1
19,agreeing,POSEMO,1
20,agreement*,POSEMO,1
21,agrees,POSEMO,1
22,alright*,POSEMO,1
23,amaze*,POSEMO,1
24,amazing,POSEMO,1
25,amazingly,POSEMO,1
26,amor*,POSEMO,1
27,amus*,POSEMO,1
28,aok,POSEMO,1
29,appreciat*,POSEMO,1
30,approv*,POSEMO,1
31,assur*,POSEMO,1
32,attract,POSEMO,1
33,attracted,POSEMO,1
34,attracting,POSEMO,1
35,attraction,POSEMO,1
36,attracts,POSEMO,1
37,award*,POSEMO,1
38,awesome,POSEMO,1
39,beautiful,POSEMO,1
40,beautify,POSEMO,1
41,beauty,POSEMO,1
42,beloved,POSEMO,1
43,benefic*,POSEMO,1
44,benefit,POSEMO,1
45,benefits,POSEMO,1
46,benefitt*,POSEMO,1
47,benevolen*,POSEMO,1
48,best,POSEMO,1
49,bestest,POSEMO,1
50,bestie,POSEMO,1
51,besties,POSEMO,1
52,better,POSEMO,1
53,bless*,POSEMO,1
54,bliss*,POSEMO,1
55,bold,POSEMO,1
56,bolder,POSEMO,1
57,boldest,POSEMO,1
58,boldly,POSEMO,1
59,bonus*,POSEMO,1
60,brave,POSEMO,1
61,braved,POSEMO,1
62,braver,POSEMO,1
63,bravery,POSEMO,1
64,braves,POSEMO,1
65,bravest,POSEMO,1
66,bright,POSEMO,1
67,brilliance*,POSEMO,1
68,brilliant,POSEMO,1
69,brilliantly,POSEMO,1
70,calm,POSEMO,1
71,calmer,POSEMO,1
72,calmest,POSEMO,1
73,calming,POSEMO,1
74,care,POSEMO,1
75,cared,POSEMO,1
76,carefree,POSEMO,1
77,cares,POSEMO,1
78,caring,POSEMO,1
79,certain*,POSEMO,1
80,challeng*,POSEMO,1
81,champ*,POSEMO,1
82,charit*,POSEMO,1
83,charm*,POSEMO,1
84,cheer,POSEMO,1
85,cheerful,POSEMO,1
86,cheers,POSEMO,1
87,cheery,POSEMO,1
88,cherish*,POSEMO,1
89,chuckl*,POSEMO,1
90,clever,POSEMO,1
91,comed*,POSEMO,1
92,comfort,POSEMO,1
93,comfortable,POSEMO,1
94,comfortably,POSEMO,1
95,comforting,POSEMO,1
96,comforts,POSEMO,1
97,compassion*,POSEMO,1
98,compliment*,POSEMO,1
99,confidence,POSEMO,1
100,confident,POSEMO,1
101,confidently,POSEMO,1
102,considerate,POSEMO,1
103,contented*,POSEMO,1
104,contentment,POSEMO,1
105,cool,POSEMO,1
106,courag*,POSEMO,1
107,create,POSEMO,1
108,created,POSEMO,1
109,creates,POSEMO,1
110,creating,POSEMO,1
111,creation,POSEMO,1
112,creations,POSEMO,1
113,creative,POSEMO,1
114,creativity,POSEMO,1
115,credit*,POSEMO,1
116,cute,POSEMO,1
117,cuter,POSEMO,1
118,cutest,POSEMO,1
119,cutie*,POSEMO,1
120,daring,POSEMO,1
121,darlin*,POSEMO,1
122,dear,POSEMO,1
123,dearly,POSEMO,1
124,decent,POSEMO,1
125,definitely,POSEMO,1
126,delectabl*,POSEMO,1
127,delicate*,POSEMO,1
128,delicious*,POSEMO,1
129,deligh*,POSEMO,1
130,desir*,POSEMO,1
131,determina*,POSEMO,1
132,determined,POSEMO,1
133,devot*,POSEMO,1
134,dignified,POSEMO,1
135,dignifies,POSEMO,1
136,dignifying,POSEMO,1
137,dignity,POSEMO,1
138,divin*,POSEMO,1
139,eager,POSEMO,1
140,eagerly,POSEMO,1
141,eagerness,POSEMO,1
142,ease*,POSEMO,1
143,easier,POSEMO,1
144,easiest,POSEMO,1
145,easily,POSEMO,1
146,easiness,POSEMO,1
147,easing,POSEMO,1
148,easy*,POSEMO,1
149,ecsta*,POSEMO,1
150,elegan*,POSEMO,1
151,encourag*,POSEMO,1
152,energ*,POSEMO,1
153,engag*,POSEMO,1
154,enjoy*,POSEMO,1
155,entertain*,POSEMO,1
156,enthus*,POSEMO,1
157,excel,POSEMO,1
158,excelled,POSEMO,1
159,excellence,POSEMO,1
160,excellent,POSEMO,1
161,excellently,POSEMO,1
162,excelling,POSEMO,1
163,excels,POSEMO,1
164,excite,POSEMO,1
165,excited,POSEMO,1
166,excitedly,POSEMO,1
167,excitement,POSEMO,1
168,exciting,POSEMO,1
169,fab,POSEMO,1
170,fabulous,POSEMO,1
171,fabulously,POSEMO,1
172,fabulousness,POSEMO,1
173,fair,POSEMO,1
174,fairer,POSEMO,1
175,fairest,POSEMO,1
176,faith*,POSEMO,1
177,fantasi*,POSEMO,1
178,fantastic,POSEMO,1
179,fantastical,POSEMO,1
180,fantastically,POSEMO,1
181,fantasy,POSEMO,1
182,fav,POSEMO,1
183,fave,POSEMO,1
184,favor,POSEMO,1
185,favoring,POSEMO,1
186,favorite,POSEMO,1
187,favors,POSEMO,1
188,favour*,POSEMO,1
189,fearless*,POSEMO,1
190,festiv*,POSEMO,1
191,fiesta*,POSEMO,1
192,fine,POSEMO,1
193,finer,POSEMO,1
194,finest,POSEMO,1
195,flatter*,POSEMO,1
196,flawless*,POSEMO,1
197,flexib*,POSEMO,1
198,flirt,POSEMO,1
199,flirtatious,POSEMO,1
200,flirting,POSEMO,1
201,flirts,POSEMO,1
202,flirty,POSEMO,1
203,fond,POSEMO,1
204,fondly,POSEMO,1
205,fondness,POSEMO,1
206,forgave,POSEMO,1
207,forgiv*,POSEMO,1
208,fortunately,POSEMO,1
209,free,POSEMO,1
210,free-think*,POSEMO,1
211,freed*,POSEMO,1
212,freeing,POSEMO,1
213,freely,POSEMO,1
214,frees*,POSEMO,1
215,freethink*,POSEMO,1
216,fun,POSEMO,1
217,funner,POSEMO,1
218,funnest,POSEMO,1
219,funnier,POSEMO,1
220,funnies,POSEMO,1
221,funniest,POSEMO,1
222,funnily,POSEMO,1
223,funniness,POSEMO,1
224,funny,POSEMO,1
225,genero*,POSEMO,1
226,gentle,POSEMO,1
227,gentler,POSEMO,1
228,gentlest,POSEMO,1
229,gently,POSEMO,1
230,giggl*,POSEMO,1
231,giver*,POSEMO,1
232,giving,POSEMO,1
233,glad,POSEMO,1
234,gladly,POSEMO,1
235,glamor*,POSEMO,1
236,glamour*,POSEMO,1
237,glori*,POSEMO,1
238,glory,POSEMO,1
239,good,POSEMO,1
240,goodness,POSEMO,1
241,gorgeous,POSEMO,1
242,gorgeously,POSEMO,1
243,gorgeousness,POSEMO,1
244,grace,POSEMO,1
245,graced,POSEMO,1
246,graceful*,POSEMO,1
247,graces,POSEMO,1
248,graci*,POSEMO,1
249,grand,POSEMO,1
250,grande*,POSEMO,1
251,gratef*,POSEMO,1
252,grati*,POSEMO,1
253,great,POSEMO,1
254,greater,POSEMO,1
255,greatest,POSEMO,1
256,greatness,POSEMO,1
257,grin,POSEMO,1
258,grinn*,POSEMO,1
259,grins,POSEMO,1
260,ha,POSEMO,1
261,hah,POSEMO,1
262,haha*,POSEMO,1
263,handsome,POSEMO,1
264,handsomely,POSEMO,1
265,handsomest,POSEMO,1
266,happier,POSEMO,1
267,happiest,POSEMO,1
268,happily,POSEMO,1
269,happiness,POSEMO,1
270,happy,POSEMO,1
271,harmon*,POSEMO,1
272,heal,POSEMO,1
273,healed,POSEMO,1
274,healer*,POSEMO,1
275,healing,POSEMO,1
276,heals,POSEMO,1
277,healthy,POSEMO,1
278,heartfelt,POSEMO,1
279,heartwarm*,POSEMO,1
280,heaven*,POSEMO,1
281,heh*,POSEMO,1
282,helper*,POSEMO,1
283,helpful,POSEMO,1
284,helpfully,POSEMO,1
285,helpfulness,POSEMO,1
286,helping,POSEMO,1
287,helps,POSEMO,1
288,hero,POSEMO,1
289,hero's,POSEMO,1
290,heroes,POSEMO,1
291,heroic*,POSEMO,1
292,heroine*,POSEMO,1
293,heroism,POSEMO,1
294,hilarious,POSEMO,1
295,hoho*,POSEMO,1
296,honest,POSEMO,1
297,honestly,POSEMO,1
298,honesty,POSEMO,1
299,honor*,POSEMO,1
300,honour*,POSEMO,1
301,hooray,POSEMO,1
302,hope,POSEMO,1
303,hoped,POSEMO,1
304,hopeful,POSEMO,1
305,hopefully,POSEMO,1
306,hopes,POSEMO,1
307,hoping,POSEMO,1
308,hug,POSEMO,1
309,hugg*,POSEMO,1
310,hugs,POSEMO,1
311,humor*,POSEMO,1
312,humour*,POSEMO,1
313,hurra*,POSEMO,1
314,ideal*,POSEMO,1
315,ily*,POSEMO,1
316,importance,POSEMO,1
317,important,POSEMO,1
318,importantly,POSEMO,1
319,impress*,POSEMO,1
320,improve*,POSEMO,1
321,improving,POSEMO,1
322,incentive*,POSEMO,1
323,innocen*,POSEMO,1
324,inspir*,POSEMO,1
325,intellect*,POSEMO,1
326,intelligence,POSEMO,1
327,intelligent,POSEMO,1
328,interest,POSEMO,1
329,interested,POSEMO,1
330,interesting,POSEMO,1
331,interests,POSEMO,1
332,invigor*,POSEMO,1
333,joke*,POSEMO,1
334,joking,POSEMO,1
335,jolly,POSEMO,1
336,joy*,POSEMO,1
337,keen*,POSEMO,1
338,kidding,POSEMO,1
339,kind,POSEMO,1
340,kindly,POSEMO,1
341,kindn*,POSEMO,1
342,kiss*,POSEMO,1
343,laidback,POSEMO,1
344,laugh*,POSEMO,1
345,legit,POSEMO,1
346,libert*,POSEMO,1
347,to like,POSEMO,1
348,likeab*,POSEMO,1
349,liked,POSEMO,1
350,likes,POSEMO,1
351,liking,POSEMO,1
352,livel*,POSEMO,1
353,lmao*,POSEMO,1
354,lmfao*,POSEMO,1
355,lol,POSEMO,1
356,love,POSEMO,1
357,loved,POSEMO,1
358,lovelier,POSEMO,1
359,loveliest,POSEMO,1
360,lovely,POSEMO,1
361,lover*,POSEMO,1
362,loves,POSEMO,1
363,loving*,POSEMO,1
364,loyal,POSEMO,1
365,loyalt*,POSEMO,1
366,luck,POSEMO,1
367,lucked,POSEMO,1
368,luckier,POSEMO,1
369,luckiest,POSEMO,1
370,luckily,POSEMO,1
371,lucky,POSEMO,1
372,luv,POSEMO,1
373,magnific*,POSEMO,1
374,merit*,POSEMO,1
375,merr*,POSEMO,1
376,neat,POSEMO,1
377,neater,POSEMO,1
378,neatest,POSEMO,1
379,neatness,POSEMO,1
380,nice,POSEMO,1
381,nicely,POSEMO,1
382,niceness*,POSEMO,1
383,nicer,POSEMO,1
384,nicest,POSEMO,1
385,niceties,POSEMO,1
386,nurtur*,POSEMO,1
387,ok,POSEMO,1
388,okay,POSEMO,1
389,okayed,POSEMO,1
390,okays,POSEMO,1
391,okey*,POSEMO,1
392,oks,POSEMO,1
393,open-minded*,POSEMO,1
394,openminded*,POSEMO,1
395,openness,POSEMO,1
396,opportun*,POSEMO,1
397,optimal*,POSEMO,1
398,optimism,POSEMO,1
399,optimistic,POSEMO,1
400,original,POSEMO,1
401,outgoing,POSEMO,1
402,paradise*,POSEMO,1
403,partie*,POSEMO,1
404,party*,POSEMO,1
405,passion*,POSEMO,1
406,peace,POSEMO,1
407,peaceful,POSEMO,1
408,peacefully,POSEMO,1
409,peacekeep*,POSEMO,1
410,peacemak*,POSEMO,1
411,perfect,POSEMO,1
412,perfected,POSEMO,1
413,perfecting,POSEMO,1
414,perfection,POSEMO,1
415,perfectly,POSEMO,1
416,play,POSEMO,1
417,played,POSEMO,1
418,playful,POSEMO,1
419,playfully,POSEMO,1
420,playfulness,POSEMO,1
421,playing,POSEMO,1
422,plays,POSEMO,1
423,pleasant*,POSEMO,1
424,please*,POSEMO,1
425,pleasing,POSEMO,1
426,pleasur*,POSEMO,1
427,polite,POSEMO,1
428,politely,POSEMO,1
429,popular,POSEMO,1
430,populari*,POSEMO,1
431,positive,POSEMO,1
432,positively,POSEMO,1
433,positives,POSEMO,1
434,positivi*,POSEMO,1
435,prais*,POSEMO,1
436,precious*,POSEMO,1
437,prettier,POSEMO,1
438,prettiest,POSEMO,1
439,pretty,POSEMO,1
440,pride,POSEMO,1
441,privileg*,POSEMO,1
442,prize*,POSEMO,1
443,profit*,POSEMO,1
444,promise*,POSEMO,1
445,promising,POSEMO,1
446,proud,POSEMO,1
447,prouder,POSEMO,1
448,proudest,POSEMO,1
449,proudly,POSEMO,1
450,radian*,POSEMO,1
451,readiness,POSEMO,1
452,ready,POSEMO,1
453,reassur*,POSEMO,1
454,reinvigor*,POSEMO,1
455,rejoice*,POSEMO,1
456,relax*,POSEMO,1
457,relief,POSEMO,1
458,reliev*,POSEMO,1
459,resolv*,POSEMO,1
460,respect,POSEMO,1
461,respected,POSEMO,1
462,respectful,POSEMO,1
463,respectfully,POSEMO,1
464,respecting,POSEMO,1
465,reward*,POSEMO,1
466,rich,POSEMO,1
467,richer,POSEMO,1
468,riches,POSEMO,1
469,richest,POSEMO,1
470,rofl*,POSEMO,1
471,romanc*,POSEMO,1
472,romantic*,POSEMO,1
473,safe,POSEMO,1
474,safely,POSEMO,1
475,safer,POSEMO,1
476,safest,POSEMO,1
477,safety,POSEMO,1
478,satisf*,POSEMO,1
479,save,POSEMO,1
480,scrumptious*,POSEMO,1
481,secur*,POSEMO,1
482,sentimental*,POSEMO,1
483,sexy,POSEMO,1
484,share,POSEMO,1
485,shared,POSEMO,1
486,shares,POSEMO,1
487,sharing,POSEMO,1
488,sillier,POSEMO,1
489,silliest,POSEMO,1
490,silly,POSEMO,1
491,sincer*,POSEMO,1
492,smart,POSEMO,1
493,smarter,POSEMO,1
494,smartest,POSEMO,1
495,smartly,POSEMO,1
496,smil*,POSEMO,1
497,sociability,POSEMO,1
498,sociable,POSEMO,1
499,soulmate*,POSEMO,1
500,special,POSEMO,1
501,splendid,POSEMO,1
502,splendidly,POSEMO,1
503,splendor,POSEMO,1
504,strength*,POSEMO,1
505,strong,POSEMO,1
506,stronger,POSEMO,1
507,strongest,POSEMO,1
508,strongly,POSEMO,1
509,succeed*,POSEMO,1
510,success,POSEMO,1
511,successes,POSEMO,1
512,successful,POSEMO,1
513,successfully,POSEMO,1
514,sunnier,POSEMO,1
515,sunniest,POSEMO,1
516,sunny,POSEMO,1
517,sunshin*,POSEMO,1
518,super,POSEMO,1
519,superb*,POSEMO,1
520,superior,POSEMO,1
521,support,POSEMO,1
522,supported,POSEMO,1
523,supporter*,POSEMO,1
524,supporting,POSEMO,1
525,supportive,POSEMO,1
526,supports,POSEMO,1
527,suprem*,POSEMO,1
528,sure*,POSEMO,1
529,surprise,POSEMO,1
530,surprised*,POSEMO,1
531,surprising*,POSEMO,1
532,sweet,POSEMO,1
533,sweeter,POSEMO,1
534,sweetest,POSEMO,1
535,sweetheart*,POSEMO,1
536,sweetie*,POSEMO,1
537,sweetly,POSEMO,1
538,sweetness*,POSEMO,1
539,sweets,POSEMO,1
540,talent*,POSEMO,1
541,teehe*,POSEMO,1
542,tender,POSEMO,1
543,tenderly,POSEMO,1
544,terrific,POSEMO,1
545,terrifically,POSEMO,1
546,thank,POSEMO,1
547,thanked,POSEMO,1
548,thankful,POSEMO,1
549,thankfully,POSEMO,1
550,thanking,POSEMO,1
551,thanks,POSEMO,1
552,thanx,POSEMO,1
553,thnx,POSEMO,1
554,thoughtful*,POSEMO,1
555,thrill*,POSEMO,1
556,thx,POSEMO,1
557,toleran*,POSEMO,1
558,tranquil*,POSEMO,1
559,treasur*,POSEMO,1
560,treat,POSEMO,1
561,triumph*,POSEMO,1
562,true,POSEMO,1
563,truer,POSEMO,1
564,truest,POSEMO,1
565,truly,POSEMO,1
566,trust,POSEMO,1
567,trusted,POSEMO,1
568,trusting,POSEMO,1
569,trusts,POSEMO,1
570,trustworthiness,POSEMO,1
571,trustworthy,POSEMO,1
572,trusty,POSEMO,1
573,truth*,POSEMO,1
574,ty,POSEMO,1
575,upbeat,POSEMO,1
576,useful,POSEMO,1
577,usefully,POSEMO,1
578,usefulness,POSEMO,1
579,valuabl*,POSEMO,1
580,value,POSEMO,1
581,valued,POSEMO,1
582,values,POSEMO,1
583,valuing,POSEMO,1
584,vigor*,POSEMO,1
585,vigour*,POSEMO,1
586,virtue*,POSEMO,1
587,virtuo*,POSEMO,1
588,vital*,POSEMO,1
589,warm,POSEMO,1
590,warmed,POSEMO,1
591,warmer,POSEMO,1
592,warmest,POSEMO,1
593,warming,POSEMO,1
594,warmly,POSEMO,1
595,warms,POSEMO,1
596,warmth,POSEMO,1
597,wealth,POSEMO,1
598,wealthier,POSEMO,1
599,wealthiest,POSEMO,1
600,wealthy,POSEMO,1
601,welcom*,POSEMO,1
602,well,POSEMO,1
603,wellbeing,POSEMO,1
604,wellness,POSEMO,1
605,win,POSEMO,1
606,winn*,POSEMO,1
607,wins,POSEMO,1
608,wisdom,POSEMO,1
609,wise,POSEMO,1
610,wisely,POSEMO,1
611,wiser,POSEMO,1
612,wisest,POSEMO,1
613,won,POSEMO,1
614,wonderful,POSEMO,1
615,wonderfully,POSEMO,1
616,worship*,POSEMO,1
617,worthwhile,POSEMO,1
618,wow*,POSEMO,1
619,yay*,POSEMO,1
620,yum,POSEMO,1
621,yummy,POSEMO,1
622,):,NEGEMO,1
623,:(,NEGEMO,1
624,abandon*,NEGEMO,1
625,abuse*,NEGEMO,1
626,abusi*,NEGEMO,1
627,ache*,NEGEMO,1
628,aching*,NEGEMO,1
629,advers*,NEGEMO,1
630,afraid,NEGEMO,1
631,aggravat*,NEGEMO,1
632,aggress,NEGEMO,1
633,aggressed,NEGEMO,1
634,aggresses,NEGEMO,1
635,aggressing,NEGEMO,1
636,aggression*,NEGEMO,1
637,aggressive,NEGEMO,1
638,aggressively,NEGEMO,1
639,aggressor*,NEGEMO,1
640,agitat*,NEGEMO,1
641,agoniz*,NEGEMO,1
642,agony,NEGEMO,1
643,alarm*,NEGEMO,1
644,alone,NEGEMO,1
645,anger*,NEGEMO,1
646,angrier,NEGEMO,1
647,angriest,NEGEMO,1
648,angry,NEGEMO,1
649,anguish*,NEGEMO,1
650,annoy,NEGEMO,1
651,annoyed,NEGEMO,1
652,annoying,NEGEMO,1
653,annoys,NEGEMO,1
654,antagoni*,NEGEMO,1
655,anxiety,NEGEMO,1
656,anxious,NEGEMO,1
657,anxiously,NEGEMO,1
658,anxiousness,NEGEMO,1
659,apath*,NEGEMO,1
660,appall*,NEGEMO,1
661,apprehens*,NEGEMO,1
662,argh*,NEGEMO,1
663,argu*,NEGEMO,1
664,arrogan*,NEGEMO,1
665,asham*,NEGEMO,1
666,assault*,NEGEMO,1
667,asshole*,NEGEMO,1
668,attack*,NEGEMO,1
669,aversi*,NEGEMO,1
670,avoid*,NEGEMO,1
671,awful,NEGEMO,1
672,awkward,NEGEMO,1
673,bad,NEGEMO,1
674,badly,NEGEMO,1
675,bashful*,NEGEMO,1
676,bastard*,NEGEMO,1
677,battl*,NEGEMO,1
678,beaten,NEGEMO,1
679,bereave*,NEGEMO,1
680,bitch*,NEGEMO,1
681,bitter,NEGEMO,1
682,bitterly,NEGEMO,1
683,bitterness,NEGEMO,1
684,blam*,NEGEMO,1
685,bore*,NEGEMO,1
686,boring,NEGEMO,1
687,bother*,NEGEMO,1
688,broke,NEGEMO,1
689,brutal*,NEGEMO,1
690,burden*,NEGEMO,1
691,careless*,NEGEMO,1
692,cheat*,NEGEMO,1
693,coldly,NEGEMO,1
694,complain*,NEGEMO,1
695,condemn*,NEGEMO,1
696,confront*,NEGEMO,1
697,confuse,NEGEMO,1
698,confused,NEGEMO,1
699,confusedly,NEGEMO,1
700,confusing,NEGEMO,1
701,contempt*,NEGEMO,1
702,contradic*,NEGEMO,1
703,crap,NEGEMO,1
704,crappy,NEGEMO,1
705,crazy,NEGEMO,1
706,cried,NEGEMO,1
707,cries,NEGEMO,1
708,critical,NEGEMO,1
709,critici*,NEGEMO,1
710,crude,NEGEMO,1
711,crudely,NEGEMO,1
712,cruel,NEGEMO,1
713,crueler,NEGEMO,1
714,cruelest,NEGEMO,1
715,cruelty,NEGEMO,1
716,crushed,NEGEMO,1
717,cry,NEGEMO,1
718,crying,NEGEMO,1
