,tokens,dictionary,weights
1420,blam*,SOCIAL,1
1421,boi,SOCIAL,1
1422,boy,SOCIAL,1
1423,boy's,SOCIAL,1
1424,boyfriend*,SOCIAL,1
1425,boyhood,SOCIAL,1
1426,boyish,SOCIAL,1
1427,boys,SOCIAL,1
1428,breakup,SOCIAL,1
1429,bride*,SOCIAL,1
1430,bro,SOCIAL,1
1431,bro'*,SOCIAL,1
1432,bros,SOCIAL,1
1433,brother*,SOCIAL,1
1434,bruh,SOCIAL,1
1435,bud,SOCIAL,1
1436,buddies,SOCIAL,1
1437,buddy*,SOCIAL,1
1438,bye,SOCIAL,1
1439,call,SOCIAL,1
1440,called,SOCIAL,1
1441,caller*,SOCIAL,1
1442,calling,SOCIAL,1
1443,calls,SOCIAL,1
1444,cc,SOCIAL,1
1445,cced,SOCIAL,1
1446,celebrat*,SOCIAL,1
1447,chap,SOCIAL,1
1448,chat*,SOCIAL,1
1449,chick,SOCIAL,1
1450,chick'*,SOCIAL,1
1451,chicks,SOCIAL,1
1452,child,SOCIAL,1
1453,child'*,SOCIAL,1
1454,children*,SOCIAL,1
1455,chit-chat*,SOCIAL,1
1456,chitchat*,SOCIAL,1
1457,chum,SOCIAL,1
1458,chums,SOCIAL,1
1459,citizen,SOCIAL,1
1460,citizen'*,SOCIAL,1
1461,citizens,SOCIAL,1
1462,classmate,SOCIAL,1
1463,classmates,SOCIAL,1
1464,clique*,SOCIAL,1
1465,co-work*,SOCIAL,1
1466,colleague*,SOCIAL,1
1467,coma*,SOCIAL,1
1468,comment*,SOCIAL,1
1469,commun*,SOCIAL,1
1470,compadre*,SOCIAL,1
1471,companion*,SOCIAL,1
1472,company,SOCIAL,1
1473,compassion*,SOCIAL,1
1474,complain*,SOCIAL,1
1475,compliment*,SOCIAL,1
1476,comrad*,SOCIAL,1
1477,confess*,SOCIAL,1
1478,confidant*,SOCIAL,1
1479,confide,SOCIAL,1
1480,confided,SOCIAL,1
1481,confides,SOCIAL,1
1482,confiding,SOCIAL,1
1483,congregat*,SOCIAL,1
1484,consult*,SOCIAL,1
1485,contact,SOCIAL,1
1486,contacted,SOCIAL,1
1487,contacts,SOCIAL,1
1488,contradic*,SOCIAL,1
1489,convers*,SOCIAL,1
1490,counc*,SOCIAL,1
1491,couns*,SOCIAL,1
1492,courtship,SOCIAL,1
1493,cousin*,SOCIAL,1
1494,cowboy*,SOCIAL,1
1495,cowgirl*,SOCIAL,1
1496,cowork*,SOCIAL,1
1497,crew,SOCIAL,1
1498,crowd*,SOCIAL,1
1499,cultur*,SOCIAL,1
1500,cutie*,SOCIAL,1
1501,dad,SOCIAL,1
1502,dad's,SOCIAL,1
1503,daddies,SOCIAL,1
1504,daddy,SOCIAL,1
1505,daddy's,SOCIAL,1
1506,dads,SOCIAL,1
1507,dame*,SOCIAL,1
1508,damsel*,SOCIAL,1
1509,dance,SOCIAL,1
1510,danced,SOCIAL,1
1511,dances,SOCIAL,1
1512,dancing,SOCIAL,1
1513,darlin*,SOCIAL,1
1514,date,SOCIAL,1
1515,dating,SOCIAL,1
1516,daughter*,SOCIAL,1
1517,dawg*,SOCIAL,1
1518,dear,SOCIAL,1
1519,debate,SOCIAL,1
1520,dilf*,SOCIAL,1
1521,disclo*,SOCIAL,1
1522,discuss*,SOCIAL,1
1523,divorc*,SOCIAL,1
1524,duchess*,SOCIAL,1
1525,dude*,SOCIAL,1
1526,duke*,SOCIAL,1
1527,e-mail,SOCIAL,1
1528,e-mailed,SOCIAL,1
1529,e-mailing,SOCIAL,1
1530,e-mails,SOCIAL,1
1531,email,SOCIAL,1
1532,emailed,SOCIAL,1
1533,emailing,SOCIAL,1
1534,emails,SOCIAL,1
1535,embarrass*,SOCIAL,1
1536,encourag*,SOCIAL,1
1537,enemie*,SOCIAL,1
1538,enemy*,SOCIAL,1
1539,engag*,SOCIAL,1
1540,everybod*,SOCIAL,1
1541,everyone*,SOCIAL,1
1542,everything*,SOCIAL,1
1543,ex,SOCIAL,1
1544,ex-bf*,SOCIAL,1
1545,ex-boyfriend*,SOCIAL,1
1546,ex-gf*,SOCIAL,1
1547,ex-girlfriend*,SOCIAL,1
1548,exbf*,SOCIAL,1
1549,exboy*,SOCIAL,1
1550,excus*,SOCIAL,1
1551,exes,SOCIAL,1
1552,exgf*,SOCIAL,1
1553,exgirl*,SOCIAL,1
1554,exhusb*,SOCIAL,1
1555,explain,SOCIAL,1
1556,explained,SOCIAL,1
1557,explaining,SOCIAL,1
1558,explains,SOCIAL,1
1559,express*,SOCIAL,1
1560,exwife*,SOCIAL,1
1561,exwive*,SOCIAL,1
1562,facebook,SOCIAL,1
1563,fam,SOCIAL,1
1564,families,SOCIAL,1
1565,family,SOCIAL,1
1566,farewell,SOCIAL,1
1567,father*,SOCIAL,1
1568,fb,SOCIAL,1
1569,fella,SOCIAL,1
1570,fellow,SOCIAL,1
1571,fellow's,SOCIAL,1
1572,fellows,SOCIAL,1
1573,fellowship*,SOCIAL,1
1574,female,SOCIAL,1
1575,females,SOCIAL,1
1576,feminine,SOCIAL,1
1577,femininity,SOCIAL,1
1578,femme*,SOCIAL,1
1579,feud*,SOCIAL,1
1580,fiance,SOCIAL,1
1581,fiance's,SOCIAL,1
1582,fiancee*,SOCIAL,1
1583,fiances,SOCIAL,1
1584,fight*,SOCIAL,1
1585,flatter*,SOCIAL,1
1586,flirt,SOCIAL,1
1587,flirtatious,SOCIAL,1
1588,flirted,SOCIAL,1
1589,flirting,SOCIAL,1
1590,flirts,SOCIAL,1
1591,flirty,SOCIAL,1
1592,foe*,SOCIAL,1
1593,folks,SOCIAL,1
1594,follower*,SOCIAL,1
1595,fool,SOCIAL,1
1596,fooled,SOCIAL,1
1597,fooling,SOCIAL,1
1598,fools,SOCIAL,1
1599,forgave,SOCIAL,1
1600,forgiv*,SOCIAL,1
1601,formal,SOCIAL,1
1602,forwarded,SOCIAL,1
1603,fought,SOCIAL,1
1604,frenem*,SOCIAL,1
1605,friend,SOCIAL,1
1606,friendlier,SOCIAL,1
1607,friendliest,SOCIAL,1
1608,friendly,SOCIAL,1
1609,friends,SOCIAL,1
1610,fwb,SOCIAL,1
1611,gal,SOCIAL,1
1612,gals,SOCIAL,1
1613,game*,SOCIAL,1
1614,gang,SOCIAL,1
1615,gangs,SOCIAL,1
1616,gather*,SOCIAL,1
1617,gave,SOCIAL,1
1618,genero*,SOCIAL,1
1619,gent,SOCIAL,1
1620,gentlem*,SOCIAL,1
1621,gentlewom*,SOCIAL,1
1622,gents,SOCIAL,1
1623,gf*,SOCIAL,1
1624,girl,SOCIAL,1
1625,girl's,SOCIAL,1
1626,girlfriend*,SOCIAL,1
1627,girlh*,SOCIAL,1
1628,girli*,SOCIAL,1
1629,girls*,SOCIAL,1
1630,girly,SOCIAL,1
1631,give,SOCIAL,1
1632,giver*,SOCIAL,1
1633,gives,SOCIAL,1
1634,giving,SOCIAL,1
1635,goddess*,SOCIAL,1
1636,godfather*,SOCIAL,1
1637,godmother,SOCIAL,1
1638,godparent,SOCIAL,1
1639,goodbye,SOCIAL,1
1640,gossip*,SOCIAL,1
1641,gramp*,SOCIAL,1
1642,grandchil*,SOCIAL,1
1643,granddad*,SOCIAL,1
1644,granddau*,SOCIAL,1
1645,grandfath*,SOCIAL,1
1646,grandkid*,SOCIAL,1
1647,grandm*,SOCIAL,1
1648,grandpa*,SOCIAL,1
1649,grandson*,SOCIAL,1
1650,granny,SOCIAL,1
1651,greet*,SOCIAL,1
1652,grl*,SOCIAL,1
1653,groom'*,SOCIAL,1
1654,group*,SOCIAL,1
1655,grown-up*,SOCIAL,1
1656,grownup*,SOCIAL,1
1657,grudg*,SOCIAL,1
1658,guest*,SOCIAL,1
1659,gurl*,SOCIAL,1
1660,guy*,SOCIAL,1
1661,handshake,SOCIAL,1
1662,hangout*,SOCIAL,1
1663,he,SOCIAL,1
1664,he'd,SOCIAL,1
1665,he'll,SOCIAL,1
1666,he's,SOCIAL,1
1667,he-*,SOCIAL,1
1668,hear,SOCIAL,1
1669,heard,SOCIAL,1
1670,hearing,SOCIAL,1
1671,hears,SOCIAL,1
1672,hello*,SOCIAL,1
1673,help,SOCIAL,1
1674,helper*,SOCIAL,1
1675,helpful,SOCIAL,1
1676,helpfully,SOCIAL,1
1677,helpfulness,SOCIAL,1
1678,helping,SOCIAL,1
1679,helps,SOCIAL,1
1680,her,SOCIAL,1
1681,heroine*,SOCIAL,1
1682,hers,SOCIAL,1
1683,herself,SOCIAL,1
1684,hes,SOCIAL,1
1685,hey,SOCIAL,1
1686,hi,SOCIAL,1
1687,him,SOCIAL,1
1688,himself,SOCIAL,1
1689,hipster,SOCIAL,1
1690,his,SOCIAL,1
1691,hissel*,SOCIAL,1
1692,homie,SOCIAL,1
1693,honey,SOCIAL,1
1694,honeymoon*,SOCIAL,1
1695,hostil*,SOCIAL,1
1696,hottie,SOCIAL,1
1697,househusband*,SOCIAL,1
1698,housewi*,SOCIAL,1
1699,hubby,SOCIAL,1
1700,hug,SOCIAL,1
1701,human*,SOCIAL,1
1702,husband*,SOCIAL,1
1703,impersonal,SOCIAL,1
1704,impolite*,SOCIAL,1
1705,impress*,SOCIAL,1
1706,in-law*,SOCIAL,1
1707,individual*,SOCIAL,1
1708,infant,SOCIAL,1
1709,infant's,SOCIAL,1
1710,infants*,SOCIAL,1
1711,inform,SOCIAL,1
1712,informed,SOCIAL,1
1713,informing,SOCIAL,1
1714,informs,SOCIAL,1
1715,inlaw*,SOCIAL,1
1716,inquir*,SOCIAL,1
1717,instagram,SOCIAL,1
1718,insult*,SOCIAL,1
1719,interact*,SOCIAL,1
1720,interpersonal*,SOCIAL,1
1721,interrup*,SOCIAL,1
1722,interview*,SOCIAL,1
1723,involv*,SOCIAL,1
1724,kegger*,SOCIAL,1
1725,kid,SOCIAL,1
1726,kid'*,SOCIAL,1
1727,kidding,SOCIAL,1
1728,kids*,SOCIAL,1
1729,kik,SOCIAL,1
1730,kin,SOCIAL,1
1731,king,SOCIAL,1
1732,king's,SOCIAL,1
1733,kingl*,SOCIAL,1
1734,kings,SOCIAL,1
1735,knight*,SOCIAL,1
1736,lad,SOCIAL,1
1737,ladies,SOCIAL,1
1738,lady,SOCIAL,1
1739,lady's,SOCIAL,1
1740,language*,SOCIAL,1
1741,lass,SOCIAL,1
1742,lassie,SOCIAL,1
1743,leader*,SOCIAL,1
1744,lesbian*,SOCIAL,1
1745,let's,SOCIAL,1
1746,lets,SOCIAL,1
1747,letter,SOCIAL,1
1748,liar*,SOCIAL,1
1749,likeab*,SOCIAL,1
1750,listen,SOCIAL,1
1751,listened,SOCIAL,1
1752,listener*,SOCIAL,1
1753,listening,SOCIAL,1
1754,listens,SOCIAL,1
1755,locals,SOCIAL,1
1756,love,SOCIAL,1
1757,loved,SOCIAL,1
1758,lover*,SOCIAL,1
1759,loves,SOCIAL,1
1760,loving*,SOCIAL,1
1761,luv,SOCIAL,1
1762,lying,SOCIAL,1
1763,ma,SOCIAL,1
1764,ma'am,SOCIAL,1
1765,ma's,SOCIAL,1
1766,maam,SOCIAL,1
1767,madam,SOCIAL,1
1768,madame*,SOCIAL,1
1769,mademoiselle*,SOCIAL,1
1770,maid,SOCIAL,1
1771,maid's,SOCIAL,1
1772,maiden,SOCIAL,1
1773,maids,SOCIAL,1
1774,mail,SOCIAL,1
1775,mailed,SOCIAL,1
1776,mailing,SOCIAL,1
1777,mails,SOCIAL,1
1778,male,SOCIAL,1
1779,male's,SOCIAL,1
1780,males,SOCIAL,1
1781,mam,SOCIAL,1
1782,mama,SOCIAL,1
1783,man,SOCIAL,1
1784,man's,SOCIAL,1
1785,manly,SOCIAL,1
1786,manners,SOCIAL,1
1787,marriag*,SOCIAL,1
1788,marrie*,SOCIAL,1
1789,marry,SOCIAL,1
1790,masculine,SOCIAL,1
1791,masculinity,SOCIAL,1
1792,mate,SOCIAL,1
1793,mate's,SOCIAL,1
1794,maternal*,SOCIAL,1
1795,maternity,SOCIAL,1
1796,mates,SOCIAL,1
1797,mating,SOCIAL,1
1798,matriarch*,SOCIAL,1
1799,meet,SOCIAL,1
1800,meeting*,SOCIAL,1
1801,meets,SOCIAL,1
1802,member*,SOCIAL,1
1803,men,SOCIAL,1
1804,men'*,SOCIAL,1
1805,mens,SOCIAL,1
1806,mention*,SOCIAL,1
1807,message,SOCIAL,1
1808,messaged,SOCIAL,1
1809,messages,SOCIAL,1
1810,messaging,SOCIAL,1
1811,met,SOCIAL,1
1812,milf*,SOCIAL,1
1813,mimi,SOCIAL,1
1814,mimi'*,SOCIAL,1
1815,mimis,SOCIAL,1
1816,missus,SOCIAL,1
1817,mister,SOCIAL,1
1818,mistres*,SOCIAL,1
1819,mock,SOCIAL,1
1820,mocked,SOCIAL,1
1821,mocking,SOCIAL,1
1822,mocks,SOCIAL,1
1823,mom,SOCIAL,1
1824,mom's,SOCIAL,1
1825,momma*,SOCIAL,1
1826,mommy*,SOCIAL,1
1827,moms,SOCIAL,1
1828,monsieur,SOCIAL,1
1829,mooch*,SOCIAL,1
1830,mother,SOCIAL,1
1831,mother's,SOCIAL,1
1832,mothered,SOCIAL,1
1833,motherhood,SOCIAL,1
1834,mothering,SOCIAL,1
1835,motherl*,SOCIAL,1
1836,mothers,SOCIAL,1
1837,mr,SOCIAL,1
1838,mrs,SOCIAL,1
1839,ms,SOCIAL,1
1840,mum,SOCIAL,1
1841,mum's,SOCIAL,1
1842,mummy*,SOCIAL,1
1843,mums,SOCIAL,1
1844,name,SOCIAL,1
1845,names,SOCIAL,1
1846,nana,SOCIAL,1
1847,nana's,SOCIAL,1
1848,nanas,SOCIAL,1
1849,nann*,SOCIAL,1
1850,negotiat*,SOCIAL,1
1851,neighbor*,SOCIAL,1
1852,neighbour*,SOCIAL,1
1853,nephew*,SOCIAL,1
1854,newborn*,SOCIAL,1
1855,niece*,SOCIAL,1
1856,offer*,SOCIAL,1
1857,oomf,SOCIAL,1
1858,our,SOCIAL,1
1859,ours,SOCIAL,1
1860,ourselves,SOCIAL,1
1861,outsider*,SOCIAL,1
1862,overhear*,SOCIAL,1
1863,owner*,SOCIAL,1
1864,pa,SOCIAL,1
1865,pa's,SOCIAL,1
1866,pal,SOCIAL,1
1867,pal's,SOCIAL,1
1868,pals,SOCIAL,1
1869,papa,SOCIAL,1
1870,papa's,SOCIAL,1
1871,papas,SOCIAL,1
1872,pappy,SOCIAL,1
1873,pappy's,SOCIAL,1
1874,parent*,SOCIAL,1
1875,participant*,SOCIAL,1
1876,participat*,SOCIAL,1
1877,partie*,SOCIAL,1
1878,partner*,SOCIAL,1
1879,party*,SOCIAL,1
1880,paternal,SOCIAL,1
1881,paternity,SOCIAL,1
1882,patriarch*,SOCIAL,1
1883,peeps,SOCIAL,1
1884,people*,SOCIAL,1
1885,person,SOCIAL,1
1886,person's,SOCIAL,1
1887,personal,SOCIAL,1
1888,persons,SOCIAL,1
1889,persua*,SOCIAL,1
1890,phone*,SOCIAL,1
1891,phoning,SOCIAL,1
1892,playmate*,SOCIAL,1
1893,polite,SOCIAL,1
1894,politely,SOCIAL,1
1895,popular,SOCIAL,1
1896,posse,SOCIAL,1
1897,ppl*,SOCIAL,1
1898,prais*,SOCIAL,1
1899,pregnan*,SOCIAL,1
1900,prince,SOCIAL,1
1901,prince'*,SOCIAL,1
1902,princes,SOCIAL,1
1903,princess*,SOCIAL,1
1904,private,SOCIAL,1
1905,prom,SOCIAL,1
1906,provide,SOCIAL,1
1907,provides,SOCIAL,1
1908,providing,SOCIAL,1
1909,public,SOCIAL,1
1910,queen,SOCIAL,1
1911,queen's,SOCIAL,1
1912,queens,SOCIAL,1
1913,question,SOCIAL,1
1914,reassur*,SOCIAL,1
1915,receiv*,SOCIAL,1
1916,recommend*,SOCIAL,1
1917,refus*,SOCIAL,1
1918,relate*,SOCIAL,1
1919,relationship*,SOCIAL,1
1920,relatives,SOCIAL,1
1921,replie*,SOCIAL,1
1922,reply*,SOCIAL,1
1923,request*,SOCIAL,1
1924,respond*,SOCIAL,1
1925,role*,SOCIAL,1
1926,roomate*,SOCIAL,1
1927,roomed,SOCIAL,1
1928,roomie*,SOCIAL,1
1929,rooming,SOCIAL,1
1930,roommate*,SOCIAL,1
1931,rt,SOCIAL,1
1932,rumor*,SOCIAL,1
1933,rumour*,SOCIAL,1
1934,said,SOCIAL,1
1935,say,SOCIAL,1
1936,saying,SOCIAL,1
1937,says,SOCIAL,1
1938,schoolboy*,SOCIAL,1
1939,schoolgirl*,SOCIAL,1
1940,schoolmate,SOCIAL,1
1941,secret,SOCIAL,1
1942,secretive,SOCIAL,1
1943,secretively,SOCIAL,1
1944,secretly,SOCIAL,1
1945,secrets,SOCIAL,1
1946,self,SOCIAL,1
1947,send,SOCIAL,1
1948,sender,SOCIAL,1
1949,sending,SOCIAL,1
1950,sends,SOCIAL,1
1951,senor,SOCIAL,1
1952,senora,SOCIAL,1
1953,senorita,SOCIAL,1
1954,sent,SOCIAL,1
1955,share,SOCIAL,1
1956,shared,SOCIAL,1
1957,shares,SOCIAL,1
1958,sharing,SOCIAL,1
1959,she,SOCIAL,1
1960,she'd,SOCIAL,1
1961,she'll,SOCIAL,1
1962,she's,SOCIAL,1
1963,she-*,SOCIAL,1
1964,shes,SOCIAL,1
1965,shy,SOCIAL,1
1966,shyly,SOCIAL,1
1967,shyness,SOCIAL,1
1968,sibling*,SOCIAL,1
1969,sidekick*,SOCIAL,1
1970,sir,SOCIAL,1
1971,sis,SOCIAL,1
1972,sister*,SOCIAL,1
1973,sms,SOCIAL,1
1974,smsed,SOCIAL,1
1975,snapchat*,SOCIAL,1
1976,snob*,SOCIAL,1
1977,sociability,SOCIAL,1
1978,sociable,SOCIAL,1
1979,social,SOCIAL,1
1980,socially,SOCIAL,1
1981,societ*,SOCIAL,1
1982,somebod*,SOCIAL,1
1983,someone*,SOCIAL,1
1984,son,SOCIAL,1
1985,son's,SOCIAL,1
1986,son-in-law*,SOCIAL,1
1987,sons,SOCIAL,1
1988,sororit*,SOCIAL,1
1989,soulmate*,SOCIAL,1
1990,speak,SOCIAL,1
1991,speaking,SOCIAL,1
1992,speaks,SOCIAL,1
1993,spoke*,SOCIAL,1
1994,spous*,SOCIAL,1
1995,squad*,SOCIAL,1
1996,step-child*,SOCIAL,1
1997,step-dad*,SOCIAL,1
1998,step-dau*,SOCIAL,1
1999,step-fath*,SOCIAL,1
2000,step-kid*,SOCIAL,1
2001,step-moth*,SOCIAL,1
2002,step-son*,SOCIAL,1
2003,stepchild*,SOCIAL,1
2004,stepdad*,SOCIAL,1
2005,stepdau*,SOCIAL,1
2006,stepfath*,SOCIAL,1
2007,stepkid*,SOCIAL,1
2008,stepmoth*,SOCIAL,1
2009,stepson,SOCIAL,1
2010,stories,SOCIAL,1
2011,story,SOCIAL,1
2012,sugardadd*,SOCIAL,1
2013,sugarmam*,SOCIAL,1
2014,sugarmom*,SOCIAL,1
2015,suggest*,SOCIAL,1
2016,sweetheart*,SOCIAL,1
2017,sweetie*,SOCIAL,1
2018,sympath*,SOCIAL,1
2019,talk,SOCIAL,1
2020,talkative,SOCIAL,1
2021,talked,SOCIAL,1
2022,talker*,SOCIAL,1
2023,talking,SOCIAL,1
2024,talks,SOCIAL,1
2025,team*,SOCIAL,1
2026,teas*,SOCIAL,1
2027,teen,SOCIAL,1
2028,teenage*,SOCIAL,1
2029,telephon*,SOCIAL,1
2030,tell,SOCIAL,1
2031,telling,SOCIAL,1
2032,tells,SOCIAL,1
2033,texted,SOCIAL,1
2034,texting,SOCIAL,1
2035,thee,SOCIAL,1
2036,their*,SOCIAL,1
2037,them,SOCIAL,1
2038,themselves,SOCIAL,1
2039,they,SOCIAL,1
2040,they'd,SOCIAL,1
2041,they'll,SOCIAL,1
2042,they're,SOCIAL,1
2043,they've,SOCIAL,1
2044,theyd,SOCIAL,1
2045,theyll,SOCIAL,1
2046,theyre,SOCIAL,1
2047,theyve,SOCIAL,1
2048,thine,SOCIAL,1
2049,thou,SOCIAL,1
2050,thoust,SOCIAL,1
2051,thy,SOCIAL,1
2052,together,SOCIAL,1
2053,told,SOCIAL,1
2054,tomboy*,SOCIAL,1
2055,trust,SOCIAL,1
2056,trusted,SOCIAL,1
2057,trusting,SOCIAL,1
2058,trusts,SOCIAL,1
2059,tweet*,SOCIAL,1
2060,twitter,SOCIAL,1
2061,uncle,SOCIAL,1
2062,uncle's,SOCIAL,1
2063,uncles,SOCIAL,1
2064,ur,SOCIAL,1
2065,us,SOCIAL,1
2066,valentin*,SOCIAL,1
2067,visit,SOCIAL,1
2068,visited,SOCIAL,1
2069,visiting,SOCIAL,1
2070,visits,SOCIAL,1
2071,we,SOCIAL,1
2072,we'd,SOCIAL,1
2073,we'll,SOCIAL,1
2074,we're,SOCIAL,1
2075,we've,SOCIAL,1
2076,wed,SOCIAL,1
2077,wedding*,SOCIAL,1
2078,weds,SOCIAL,1
2079,welcom*,SOCIAL,1
2080,wench*,SOCIAL,1
2081,weve,SOCIAL,1
2082,who,SOCIAL,1
2083,who'd,SOCIAL,1
2084,who'll,SOCIAL,1
2085,who's,SOCIAL,1
2086,whod,SOCIAL,1
2087,whoever,SOCIAL,1
2088,wholl,SOCIAL,1
2089,whom,SOCIAL,1
2090,whomever,SOCIAL,1
2091,whos,SOCIAL,1
2092,whose,SOCIAL,1
2093,widow*,SOCIAL,1
2094,wife*,SOCIAL,1
2095,witch*,SOCIAL,1
2096,wive*,SOCIAL,1
2097,woman,SOCIAL,1
2098,woman's,SOCIAL,1
2099,womanhood,SOCIAL,1
2100,womanly,SOCIAL,1
2101,womans,SOCIAL,1
2102,women*,SOCIAL,1
2103,y'all,SOCIAL,1
2104,y'all's,SOCIAL,1
2105,ya,SOCIAL,1
2106,ya'll*,SOCIAL,1
2107,yall,SOCIAL,1
2108,yalls,SOCIAL,1
2109,ye,SOCIAL,1
2110,you,SOCIAL,1
2111,you'd,SOCIAL,1
2112,you'll,SOCIAL,1
2113,you're,SOCIAL,1
2114,you've,SOCIAL,1
2115,youd,SOCIAL,1
2116,youll,SOCIAL,1
2117,youngster*,SOCIAL,1
2118,your,SOCIAL,1
2119,youre,SOCIAL,1
2120,yours,SOCIAL,1
2121,yourself,SOCIAL,1
2122,yourselves,SOCIAL,1
2123,youve,SOCIAL,1
